application_id,form_name,document_name,form_nik,document_nik,form_birth_date,document_birth_date,document_status,expected_status
KYC0076,Budi Santoso,Budi Santoso,1615280988516560,1615280988516560,2001-09-25,2001-09-25,active,approve
KYC0298,Rudi Kurniawan,Rudi Kurniawan,8123878003845762,8123878003845762,1997-01-12,2003-02-14,active,reject
KYC0279,Vina Aprillia,Vina Aprillia,4484631224179749,5020802144270312,2003-05-10,2003-05-10,active,reject
KYC0098,Budi Santoso,Budi Santoso,1798089324609539,1798089324609539,2003-02-14,2003-02-14,active,approve
KYC0093,Kartika Sari,Kartika Sari,5379473834735977,5379473834735977,2001-09-25,2001-09-25,active,approve
KYC0193,Dewi Anggraini,Dewi Inggraini,1510702966706625,1510702966706625,2000-07-16,2000-07-16,active,review
KYC0026,Wahyu Setiawan,Wahyu Setiawan,5698169340608835,5698169340608835,2003-02-14,2003-02-14,active,approve
KYC0233,Hendra Wijaya,Hendra Wijaya,8997571130554885,2726149331637351,1998-03-20,1998-03-20,active,reject
KYC0060,Fajar Nugroho,Fajar Nugroho,4316117240050455,4316117240050455,2003-02-14,2003-02-14,active,approve
KYC0007,Rina Oktaviani,Rina Oktaviani,6532871012269166,6532871012269166,2003-05-10,2003-05-10,active,approve
KYC0186,Budi Santoso,Budi Aantoso,8705349493759738,8705349493759738,2000-07-16,2000-07-16,active,review
KYC0174,Indah Permata,Indah Permaaa,4152064361103712,4152064361103712,2000-07-16,2000-07-16,active,review
KYC0031,Fajar Nugroho,Fajar Nugroho,1727889579868727,1727889579868727,2003-05-10,2003-05-10,active,approve
KYC0023,Eka Wulandari,Eka Wulandari,3158692322602563,3158692322602563,2001-09-25,2001-09-25,active,approve
KYC0257,Andi Saputra,Andi Saputra,8811729806865086,8811729806865086,2000-07-16,2003-05-10,active,reject
KYC0057,Dewi Anggraini,Dewi Anggraini,7875588675339636,7875588675339636,1997-01-12,1997-01-12,active,approve
KYC0187,Ahmad Fauzan,Ahmaa Fauzan,6038505064138367,6038505064138367,1997-01-12,1997-01-12,active,review
KYC0109,Nadia Maharani,Nadia Maharini,6691251778528922,6691251778528922,2003-02-14,2003-02-14,active,review
KYC0127,Rina Oktaviani,Rina Oktaviana,9154788728743152,9154788728743152,2003-05-10,2003-05-10,active,review
KYC0231,Rudi Kurniawan,Rudi Kurniawan,0028772175354083,0028772175354083,2004-08-21,2004-08-21,expired,reject
KYC0194,Fitri Handayani,Fitra Handayani,4720999347687014,4720999347687014,2003-02-14,2003-02-14,active,review
KYC0130,Gilang Ramadhan,Gilang Ramadhaa,2684145933272795,2684145933272795,2003-02-14,2003-02-14,active,review
KYC0283,Joko Susanto,Joko Susanto,3009792513271950,3009792513271950,1997-01-12,2000-07-16,active,reject
KYC0083,Lukman Hakim,Lukman Hakim,1596966416052975,1596966416052975,1998-03-20,1998-03-20,active,approve
KYC0085,Nadia Maharani,Nadia Maharani,3552312432921277,3552312432921277,2003-05-10,2003-05-10,active,approve
KYC0067,Citra Lestari,Citra Lestari,3709859317461200,3709859317461200,2001-09-25,2001-09-25,active,approve
KYC0289,Putra Aditya,Putra Aditya,6195761228685289,6195761228685289,2003-05-10,2002-11-04,active,reject
KYC0164,Rudi Kurniawan,Ruda Kurniawan,6915579249912513,6915579249912513,2001-09-25,2001-09-25,active,review
KYC0155,Rudi Kurniawan,Rudi Kuaniawan,9371240659657569,9371240659657569,1999-05-11,1999-05-11,active,review
KYC0020,Rudi Kurniawan,Rudi Kurniawan,8084124118244935,8084124118244935,2000-07-16,2000-07-16,active,approve
KYC0125,Taufik Hidayat,Taufik Aidayat,8330165712082677,8330165712082677,2000-07-16,2000-07-16,active,review
KYC0080,Dewi Anggraini,Dewi Anggraini,2901476797643815,2901476797643815,2003-02-14,2003-02-14,active,approve
KYC0115,Lukman Hakim,Lukman Aakim,7470168733950047,7470168733950047,2003-05-10,2003-05-10,active,review
KYC0119,Wahyu Setiawan,Wahyu Setiawaa,4958887947055169,4958887947055169,2001-09-25,2001-09-25,active,review
KYC0073,Wahyu Setiawan,Wahyu Setiawan,8470076617711592,8470076617711592,1998-03-20,1998-03-20,active,approve
KYC0016,Taufik Hidayat,Taufik Hidayat,7234309805009788,7234309805009788,1999-05-11,1999-05-11,active,approve
KYC0011,Eka Wulandari,Eka Wulandari,8346578713315098,8346578713315098,2000-07-16,2000-07-16,active,approve
KYC0195,Kartika Sari,Kaatika Sari,3838065787598564,3838065787598564,1999-05-11,1999-05-11,active,review
KYC0102,Yusuf Maulana,Yusuf Mauaana,0541566765277584,0541566765277584,1998-03-20,1998-03-20,active,review
KYC0069,Fitri Handayani,Fitri Handayani,0537735158506431,0537735158506431,2003-05-10,2003-05-10,active,approve
KYC0225,Joko Susanto,Joko Susanto,4890901001676184,4890901001676184,2003-05-10,2003-05-10,expired,reject
KYC0038,Dimas Pratama,Dimas Pratama,9912419049663193,9912419049663193,1998-03-20,1998-03-20,active,approve
KYC0017,Andi Saputra,Andi Saputra,8121913619399091,8121913619399091,2003-02-14,2003-02-14,active,approve
KYC0180,Joko Susanto,Joko Ausanto,8486661889241418,8486661889241418,2000-07-16,2000-07-16,active,review
KYC0148,Maya Puspita,Maya Auspita,6591803397401489,6591803397401489,1997-01-12,1997-01-12,active,review
KYC0275,Citra Lestari,Citra Lestari,1780068114921643,1780068114921643,2000-07-16,2000-07-16,expired,reject
KYC0068,Maya Puspita,Maya Puspita,1138267586926179,1138267586926179,2003-02-14,2003-02-14,active,approve
KYC0229,Budi Santoso,Budi Santoso,5521667467621202,5521667467621202,1998-03-20,2004-08-21,active,reject
KYC0070,Budi Santoso,Budi Santoso,3900532931839335,3900532931839335,1999-05-11,1999-05-11,active,approve
KYC0032,Fitri Handayani,Fitri Handayani,3487347143455812,3487347143455812,1999-05-11,1999-05-11,active,approve
KYC0184,Wahyu Setiawan,Wahyu Setaawan,8000307562208635,8000307562208635,2000-07-16,2000-07-16,active,review
KYC0266,Lukman Hakim,Lukman Hakim,6973577907141633,6973577907141633,2002-11-04,2003-02-14,active,reject
KYC0226,Dewi Anggraini,Dewi Anggraini,3046184992618914,7393483564208737,1998-03-20,1998-03-20,active,reject
KYC0141,Gilang Ramadhan,Gilang Aamadhan,0331739363854678,0331739363854678,2002-11-04,2002-11-04,active,review
KYC0019,Rudi Kurniawan,Rudi Kurniawan,9118384251354278,9118384251354278,2001-09-25,2001-09-25,active,approve
KYC0182,Citra Lestari,Citra Lastari,0202758842524105,0202758842524105,2003-02-14,2003-02-14,active,review
KYC0097,Budi Santoso,Budi Santoso,0432898614341036,0432898614341036,2003-05-10,2003-05-10,active,approve
KYC0133,Andi Saputra,Andi Saputaa,8740640391065180,8740640391065180,1998-03-20,1998-03-20,active,review
KYC0263,Eka Wulandari,Eka Wulandari,8430988392053021,8430988392053021,2001-09-25,2003-02-14,active,reject
KYC0087,Lukman Hakim,Lukman Hakim,7005411998679807,7005411998679807,2000-07-16,2000-07-16,active,approve
KYC0249,Indah Permata,Indah Permata,4781291428341108,4781291428341108,1997-01-12,1997-01-12,expired,reject
KYC0246,Nadia Maharani,Nadia Maharani,2223943129087814,2223943129087814,1998-03-20,1999-05-11,active,reject
KYC0117,Joko Susanto,Joko Susaato,8784991216558523,8784991216558523,2004-08-21,2004-08-21,active,review
KYC0147,Indah Permata,Indih Permata,6793341016668700,6793341016668700,1999-05-11,1999-05-11,active,review
KYC0293,Kartika Sari,Kartika Sari,1390604805892583,6799813646225179,1999-05-11,1999-05-11,active,reject
KYC0198,Gilang Ramadhan,Gilang Ramadhaa,2701039308705932,2701039308705932,2002-11-04,2002-11-04,active,review
KYC0207,Indah Permata,Indah Permata,2704774349021158,2704774349021158,2003-02-14,2003-02-14,expired,reject
KYC0056,Dewi Anggraini,Dewi Anggraini,6398214658404499,6398214658404499,2003-05-10,2003-05-10,active,approve
KYC0173,Taufik Hidayat,Taufik Hidayaa,0017012770632424,0017012770632424,1998-03-20,1998-03-20,active,review
KYC0185,Wahyu Setiawan,Wahyu Seaiawan,5419518023806174,5419518023806174,2001-09-25,2001-09-25,active,review
KYC0168,Rina Oktaviani,Rini Oktaviani,1485807836134074,1485807836134074,2002-11-04,2002-11-04,active,review
KYC0140,Lukman Hakim,Lukman Hikim,5183046990139837,5183046990139837,2000-07-16,2000-07-16,active,review
KYC0254,Maya Puspita,Maya Puspita,7908272318432225,7908272318432225,1998-03-20,1998-03-20,expired,reject
KYC0039,Vina Aprillia,Vina Aprillia,4919058651850671,4919058651850671,2003-02-14,2003-02-14,active,approve
KYC0126,Hendra Wijaya,Hendra Aijaya,4019380262067240,4019380262067240,1997-01-12,1997-01-12,active,review
KYC0196,Hendra Wijaya,Hendri Wijaya,9304078593213348,9304078593213348,1997-01-12,1997-01-12,active,review
KYC0284,Vina Aprillia,Vina Aprillia,8127358573065240,8127358573065240,2003-05-10,2003-05-10,expired,reject
KYC0138,Andi Saputra,Andi Saputri,8926870568566246,8926870568566246,1999-05-11,1999-05-11,active,review
KYC0113,Maya Puspita,Mayi Puspita,7359255562588153,7359255562588153,2003-05-10,2003-05-10,active,review
KYC0169,Lukman Hakim,Lukman Hakia,1339596292330958,1339596292330958,2001-09-25,2001-09-25,active,review
KYC0118,Nadia Maharani,Nadia Maharaai,0002578729825952,0002578729825952,2003-02-14,2003-02-14,active,review
KYC0278,Ahmad Fauzan,Ahmad Fauzan,8536866326634163,8536866326634163,2004-08-21,2004-08-21,expired,reject
KYC0272,Vina Aprillia,Vina Aprillia,2034717545588450,5939982455877169,2003-02-14,2003-02-14,active,reject
KYC0156,Hendra Wijaya,Hendra Wijayi,9375265479356465,9375265479356465,1998-03-20,1998-03-20,active,review
KYC0177,Dewi Anggraini,Dewi Anggraina,1965652341389994,1965652341389994,1997-01-12,1997-01-12,active,review
KYC0179,Indah Permata,Inaah Permata,5269658271091043,5269658271091043,1997-01-12,1997-01-12,active,review
KYC0003,Citra Lestari,Citra Lestari,1615594078161849,1615594078161849,2002-11-04,2002-11-04,active,approve
KYC0116,Putra Aditya,Putaa Aditya,0162456506098358,0162456506098358,2001-09-25,2001-09-25,active,review
KYC0144,Wahyu Setiawan,Wahya Setiawan,5228728080100623,5228728080100623,1998-03-20,1998-03-20,active,review
KYC0178,Gilang Ramadhan,Giaang Ramadhan,3898364037613791,3898364037613791,2004-08-21,2004-08-21,active,review
KYC0121,Ahmad Fauzan,Ahmad Fauzaa,7562636897028385,7562636897028385,2003-05-10,2003-05-10,active,review
KYC0211,Rina Oktaviani,Rina Oktaviani,9119148564679970,9119148564679970,1999-05-11,2003-05-10,active,reject
KYC0261,Citra Lestari,Citra Lestari,3721386589026012,3721386589026012,2003-05-10,2003-05-10,expired,reject
KYC0128,Fitri Handayani,Fitri Handiyani,2054932966851612,2054932966851612,1999-05-11,1999-05-11,active,review
KYC0075,Kartika Sari,Kartika Sari,7365766156545271,7365766156545271,1998-03-20,1998-03-20,active,approve
KYC0030,Lukman Hakim,Lukman Hakim,6936763201632870,6936763201632870,2004-08-21,2004-08-21,active,approve
KYC0084,Kartika Sari,Kartika Sari,1369681645352181,1369681645352181,2004-08-21,2004-08-21,active,approve
KYC0270,Maya Puspita,Maya Puspita,6365564729293143,6365564729293143,2004-08-21,2003-02-14,active,reject
KYC0108,Citra Lestari,Citra Lestiri,3237058957829114,3237058957829114,2003-02-14,2003-02-14,active,review
KYC0224,Kartika Sari,Kartika Sari,2575326033230982,2575326033230982,1998-03-20,1997-01-12,active,reject
KYC0159,Dimas Pratama,Dimas Pratima,9096561014388899,9096561014388899,2000-07-16,2000-07-16,active,review
KYC0281,Eka Wulandari,Eka Wulandari,4601367303718376,4601367303718376,2001-09-25,1999-05-11,active,reject
KYC0247,Eka Wulandari,Eka Wulandari,9755231491357759,9755231491357759,2001-09-25,2001-09-25,expired,reject
KYC0223,Eka Wulandari,Eka Wulandari,0033542168942104,0033542168942104,2001-09-25,2003-02-14,active,reject
KYC0066,Budi Santoso,Budi Santoso,2368516048175496,2368516048175496,2002-11-04,2002-11-04,active,approve
KYC0199,Dimas Pratama,Dimaa Pratama,5002921851569154,5002921851569154,2002-11-04,2002-11-04,active,review
KYC0086,Taufik Hidayat,Taufik Hidayat,9955271774490581,9955271774490581,2001-09-25,2001-09-25,active,approve
KYC0214,Lukman Hakim,Lukman Hakim,0534578610357972,0534578610357972,2003-05-10,2003-05-10,expired,reject
KYC0160,Indah Permata,Indah Permita,6798250714611254,6798250714611254,2002-11-04,2002-11-04,active,review
KYC0013,Fajar Nugroho,Fajar Nugroho,7631165667010651,7631165667010651,2000-07-16,2000-07-16,active,approve
KYC0036,Fitri Handayani,Fitri Handayani,6537556464170805,6537556464170805,2000-07-16,2000-07-16,active,approve
KYC0029,Maya Puspita,Maya Puspita,2148951343320037,2148951343320037,1998-03-20,1998-03-20,active,approve
KYC0143,Rina Oktaviani,Rina Aktaviani,9642353693785477,9642353693785477,2003-05-10,2003-05-10,active,review
KYC0285,Lukman Hakim,Lukman Hakim,8487392855749821,7448570862095935,2004-08-21,2004-08-21,active,reject
KYC0255,Fajar Nugroho,Fajar Nugroho,6517773926030299,8092024286990413,1999-05-11,1999-05-11,active,reject
KYC0171,Maya Puspita,Mayi Puspita,2946671168457759,2946671168457759,1997-01-12,1997-01-12,active,review
KYC0052,Dimas Pratama,Dimas Pratama,9671756551256746,9671756551256746,2004-08-21,2004-08-21,active,approve
KYC0096,Joko Susanto,Joko Susanto,1530515220472779,1530515220472779,1997-01-12,1997-01-12,active,approve
KYC0209,Taufik Hidayat,Taufik Hidayat,9217223320616329,9217223320616329,2001-09-25,1998-03-20,active,reject
KYC0248,Rina Oktaviani,Rina Oktaviani,2995562053364525,2995562053364525,2003-05-10,2004-08-21,active,reject
KYC0042,Putra Aditya,Putra Aditya,0831367837770143,0831367837770143,2003-02-14,2003-02-14,active,approve
KYC0090,Wahyu Setiawan,Wahyu Setiawan,9251925462914865,9251925462914865,1999-05-11,1999-05-11,active,approve
KYC0245,Ahmad Fauzan,Ahmad Fauzan,8821009968814353,8821009968814353,2003-02-14,2003-02-14,expired,reject
KYC0137,Eka Wulandari,Eka Wulindari,0284395995342836,0284395995342836,2001-09-25,2001-09-25,active,review
KYC0027,Budi Santoso,Budi Santoso,5951484656482366,5951484656482366,1999-05-11,1999-05-11,active,approve
KYC0294,Wahyu Setiawan,Wahyu Setiawan,0864168622783769,0864168622783769,2000-07-16,2000-07-16,expired,reject
KYC0142,Fitri Handayani,Fitri Handaaani,5877175355609320,5877175355609320,2001-09-25,2001-09-25,active,review
KYC0201,Andi Saputra,Andi Saputra,2959391725135521,2959391725135521,2002-11-04,1997-01-12,active,reject
KYC0001,Sari Melati,Sari Melati,1043321819600133,1043321819600133,2004-08-21,2004-08-21,active,approve
KYC0269,Hendra Wijaya,Hendra Wijaya,0036915594284347,0036915594284347,2002-11-04,1999-05-11,active,reject
KYC0273,Gilang Ramadhan,Gilang Ramadhan,7225699611253554,7225699611253554,2001-09-25,2001-09-25,expired,reject
KYC0101,Vina Aprillia,Vina Aprallia,7043030548687403,7043030548687403,2001-09-25,2001-09-25,active,review
KYC0260,Fitri Handayani,Fitri Handayani,6368872588744956,6368872588744956,1999-05-11,1999-05-11,expired,reject
KYC0256,Lukman Hakim,Lukman Hakim,9772369292984257,6621038862912799,1998-03-20,1998-03-20,active,reject
KYC0172,Wahyu Setiawan,Wahyu Seaiawan,7518636374545892,7518636374545892,2003-05-10,2003-05-10,active,review
KYC0099,Dimas Pratama,Dimas Pratama,1851888880670654,1851888880670654,1997-01-12,1997-01-12,active,approve
KYC0037,Sari Melati,Sari Melati,1003309232719374,1003309232719374,2002-11-04,2002-11-04,active,approve
KYC0062,Sari Melati,Sari Melati,4740748217594647,4740748217594647,2001-09-25,2001-09-25,active,approve
KYC0151,Putra Aditya,Putra Adatya,6629619431142626,6629619431142626,2002-11-04,2002-11-04,active,review
KYC0237,Vina Aprillia,Vina Aprillia,5158799684608106,0342442043805719,1999-05-11,1999-05-11,active,reject
KYC0203,Maya Puspita,Maya Puspita,9327104054115262,9327104054115262,1998-03-20,1998-03-20,expired,reject
KYC0243,Fajar Nugroho,Fajar Nugroho,4667665061809190,4667665061809190,1998-03-20,1999-05-11,active,reject
KYC0012,Rina Oktaviani,Rina Oktaviani,3010310518347382,3010310518347382,2003-05-10,2003-05-10,active,approve
KYC0297,Nadia Maharani,Nadia Maharani,4879206980420439,7016451046368157,2001-09-25,2001-09-25,active,reject
KYC0268,Taufik Hidayat,Taufik Hidayat,7908075957947284,9208678085627187,2003-02-14,2003-02-14,active,reject
KYC0028,Rudi Kurniawan,Rudi Kurniawan,9468044369957773,9468044369957773,2004-08-21,2004-08-21,active,approve
KYC0220,Putra Aditya,Putra Aditya,2513534655494717,2513534655494717,1997-01-12,1997-01-12,expired,reject
KYC0005,Vina Aprillia,Vina Aprillia,1928327648350305,1928327648350305,2003-02-14,2003-02-14,active,approve
KYC0123,Vina Aprillia,Vina Apaillia,3757584419866524,3757584419866524,1997-01-12,1997-01-12,active,review
KYC0033,Fajar Nugroho,Fajar Nugroho,6231665876036690,6231665876036690,2003-02-14,2003-02-14,active,approve
KYC0205,Wahyu Setiawan,Wahyu Setiawan,8444310698720506,8444310698720506,1998-03-20,2004-08-21,active,reject
KYC0163,Ahmad Fauzan,Ahmad Fauaan,3341918255371478,3341918255371478,2002-11-04,2002-11-04,active,review
KYC0210,Budi Santoso,Budi Santoso,6868548709986162,6868548709986162,1999-05-11,1999-05-11,expired,reject
KYC0286,Wahyu Setiawan,Wahyu Setiawan,1863878294565118,2203173109678994,1998-03-20,1998-03-20,active,reject
KYC0139,Maya Puspita,Mayi Puspita,3342708668826343,3342708668826343,2002-11-04,2002-11-04,active,review
KYC0063,Eka Wulandari,Eka Wulandari,6713695944064090,6713695944064090,2003-05-10,2003-05-10,active,approve
KYC0136,Andi Saputra,Andi Saputri,6903311907903067,6903311907903067,2000-07-16,2000-07-16,active,review
KYC0129,Hendra Wijaya,Hendra Wijiya,3046374549904530,3046374549904530,1998-03-20,1998-03-20,active,review
KYC0291,Putra Aditya,Putra Aditya,9921075224593344,9921075224593344,1998-03-20,1998-03-20,expired,reject
KYC0009,Citra Lestari,Citra Lestari,4893252880957015,4893252880957015,2001-09-25,2001-09-25,active,approve
KYC0071,Rudi Kurniawan,Rudi Kurniawan,0422842102053950,0422842102053950,1999-05-11,1999-05-11,active,approve
KYC0265,Rina Oktaviani,Rina Oktaviani,0426818184518489,0426818184518489,2001-09-25,2001-09-25,expired,reject
KYC0065,Gilang Ramadhan,Gilang Ramadhan,5623285884247451,5623285884247451,2003-05-10,2003-05-10,active,approve
KYC0045,Indah Permata,Indah Permata,2408240084271094,2408240084271094,2003-05-10,2003-05-10,active,approve
KYC0280,Ahmad Fauzan,Ahmad Fauzan,7356475705120461,7356475705120461,2004-08-21,1999-05-11,active,reject
KYC0157,Eka Wulandari,Eka Wulanaari,9828073741672434,9828073741672434,1999-05-11,1999-05-11,active,review
KYC0041,Lukman Hakim,Lukman Hakim,3799650752735454,3799650752735454,2001-09-25,2001-09-25,active,approve
KYC0124,Vina Aprillia,Viaa Aprillia,1574733848421993,1574733848421993,2000-07-16,2000-07-16,active,review
KYC0276,Gilang Ramadhan,Gilang Ramadhan,7228200557784872,9979688457831745,2004-08-21,2004-08-21,active,reject
KYC0217,Taufik Hidayat,Taufik Hidayat,8969108589944171,8969108589944171,2002-11-04,2003-02-14,active,reject
KYC0154,Dimas Pratama,Dimas Pratima,2444721264647154,2444721264647154,2000-07-16,2000-07-16,active,review
KYC0024,Dimas Pratama,Dimas Pratama,1607337543303654,1607337543303654,1998-03-20,1998-03-20,active,approve
KYC0262,Kartika Sari,Kartika Sari,1143519066984902,1143519066984902,2003-05-10,1997-01-12,active,reject
KYC0111,Rudi Kurniawan,Rudi Kurniawaa,8182992299590010,8182992299590010,2001-09-25,2001-09-25,active,review
KYC0082,Hendra Wijaya,Hendra Wijaya,1076226838851606,1076226838851606,1997-01-12,1997-01-12,active,approve
KYC0208,Fajar Nugroho,Fajar Nugroho,8068687937416089,8068687937416089,2004-08-21,2004-08-21,expired,reject
KYC0213,Taufik Hidayat,Taufik Hidayat,1324754691373678,8214862890233030,2002-11-04,2002-11-04,active,reject
KYC0040,Indah Permata,Indah Permata,7262849877694531,7262849877694531,2001-09-25,2001-09-25,active,approve
KYC0241,Joko Susanto,Joko Susanto,1533555439878015,9930561648408588,2003-05-10,2003-05-10,active,reject
KYC0292,Joko Susanto,Joko Susanto,9315727919409610,9315727919409610,2002-11-04,2003-05-10,active,reject
KYC0259,Nadia Maharani,Nadia Maharani,1806356512694486,1806356512694486,2002-11-04,2002-11-04,expired,reject
KYC0200,Dimas Pratama,Dimas Pratami,6752895392644220,6752895392644220,2003-02-14,2003-02-14,active,review
KYC0015,Yusuf Maulana,Yusuf Maulana,3267736026064746,3267736026064746,2004-08-21,2004-08-21,active,approve
KYC0048,Rudi Kurniawan,Rudi Kurniawan,1334123281206797,1334123281206797,2001-09-25,2001-09-25,active,approve
KYC0095,Budi Santoso,Budi Santoso,2478261375060685,2478261375060685,2000-07-16,2000-07-16,active,approve
KYC0264,Taufik Hidayat,Taufik Hidayat,6693801184895543,6693801184895543,2000-07-16,2003-05-10,active,reject
KYC0228,Citra Lestari,Citra Lestari,2045561100225579,2045561100225579,2001-09-25,2001-09-25,expired,reject
KYC0274,Sari Melati,Sari Melati,6475987622023413,6475987622023413,1999-05-11,1998-03-20,active,reject
KYC0202,Fitri Handayani,Fitri Handayani,3315410067626765,3315410067626765,2004-08-21,1998-03-20,active,reject
